default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,1,1,8,116.689,0.456,2084.88,0.397,5492.0,1.9233333333333333,1.1,3.9850000000000003,17.9011
0,1,1,8,116.6926,0.48100000000000004,2351.942,0.39899999999999997,5439.0,1.94,1.09,3.9,17.9011
0,1,1,8,116.6884,0.48,2421.8646,0.4,5531.0,1.84,1.14,3.97,17.9011
1,2,1,8,691.9,2.1,953.49,0.11699999999999999,4846.0,10.5,2.49,2.63,82.9613
1,1,1,8,93.4,0.49,416.3573,0.06,4847.0,10.3,1.44,2.57,162.55200000000002
0,1,1,8,93.4,0.49,476.745,0.06,4847.4,9.9,1.8,2.57,162.55200000000002
0,1,1,8,523.0500000000001,2.17,1274.4,0.133,4816.2,10.45,1.6,2.46,101.26
1,1,1,8,952.7,2.5,1684.4,0.20600000000000002,4785.0,11.0,2.4,2.35,101.26
1,3,1,8,181.4,0.7,1017.0,0.027000000000000003,4665.0,11.0,1.4,2.52,44.0304
1,1,1,3,94.931605,260.0,537.1047,0.0635,4182.5,5.875,0.95,2.31,50.0475
1,1,1,9,8.46321,0.066,57.2094,0.1,3700.0,0.75,0.5,2.1,9.7221
1,1,1,8,481.9,1.3,2034.112,0.2,4095.0,32.35,1.14,1.89,1070.63
0,1,1,8,268.94,0.777,467.19,0.29,5008.0,0.95,0.86,4.6,49.352
1,1,1,8,268.94,0.78,330.5432,0.29,4864.0,0.86,0.49,4.26,49.352
1,1,1,8,153.22,0.5760000000000001,337.21763,0.001,4649.0,8.95,1.08,2.61,768.045
1,1,1,8,137.48,0.539,352.78,0.26,4796.0,14.7,1.1,2.8,426.42
0,1,2,8,379.63,1.45,6807.63,0.15,4137.0,49.0,2.8,1.51,1539.71
1,1,2,8,379.63,1.05,17668.1697,0.15,4259.0,71.02,10.83,1.77,1539.71
1,1,2,8,621.99,2.01,3963.17,0.18,4137.0,49.0,2.8,1.51,1539.71
1,1,1,8,578.2,1.3,1334.886,0.21,4296.0,17.3,0.8,1.99,1322.51
1,1,1,9,41.6855,0.9470000000000001,1125.75386,0.0,5766.0,1.08,1.67,4.5,179.46099999999998
0,1,1,9,41.688644000000004,0.5940000000000001,916.62172,0.0,5703.0,0.96,0.96,4.38,179.46099999999998
0,1,1,9,41.6855,0.24100000000000002,707.4895799999999,0.0,5766.0,0.93,0.96,4.5,179.46099999999998
0,1,1,9,41.688644000000004,0.6205,498.35744,0.1,5703.0,0.96,0.85,4.38,179.46099999999998
1,1,1,8,392.6,1.0,289.2253,0.2,4414.0,11.0,0.74,2.24,871.493
1,1,1,8,733.0,1.7,540.311,0.76,4534.0,10.33,1.09,2.48,666.5889999999999
1,1,1,8,2590.0,4.2,508.5,0.35,4943.0,7.6,1.52,2.85,442.042
1,1,2,8,3.8728,0.0428,8.5,0.0,4324.0,5.303333333333333,0.7,4.74,20.2695
1,1,2,8,125.94,0.435,53.0,0.31,4324.0,3.006666666666667,0.7,4.74,20.2695
1,1,2,8,5.6,0.06,12.7132,0.15,4816.0,0.71,0.5,4.43,41.3342
